,Title,Authors,Year
300,"Children of the Sea, Volume 1 (Children of the Sea, #1)",Daisuke Igarashi,2007
301,Helping Children Succeed: What Works and Why,Paul Tough,-1
302,Sacred Parenting: How Raising Children Shapes Our Souls,Gary L. Thomas,2004
303,Beautiful Children,Charles Bock,2008
304,The Life of Our Lord: Written for His Children During the Years 1846 to 1849,Charles Dickens,1934
305,"Children of Ambition (Children of Vice, #2)",J.J. McAvoy,2017
306,"The Philosophical Baby: What Children's Minds Tell Us About Truth, Love, and the Meaning of Life",Alison Gopnik,2003
307,Shadow Children (Boxed Set): Among the Hidden; Among the Impostors; Among the Betrayed; Among the Barons,Margaret Peterson Haddix,2004
308,Dark Survivor Echoes of Love (The Children of the Gods #21),I.T. Lucas,-1
309,French Children Don't Throw Food,Pamela Druckerman,2012
310,"Beyond the Sling: A Real-Life Guide to Raising Confident, Loving Children the Attachment Parenting Way",Mayim Bialik,2012
311,"The Long-Lost Home (The Incorrigible Children of Ashton Place, #6)",Maryrose Wood,2018
312,Rachel and Her Children: Homeless Families in America,Jonathan Kozol,1987
313,"They Fight Like Soldiers, They Die Like Children: The Global Quest to Eradicate the Use of Child Soldiers",Roméo Dallaire,2010
314,"Children of the Vampire (The Diaries of the Family Dracul, #2)",Jeanne Kalogridis,1995
315,We've Got a Job: The 1963 Birmingham Children's March,Cynthia Levinson,2012
316,"Mystery in the Sand (The Boxcar Children, #16)",Gertrude Chandler Warner,1971
317,"Goddess’s Choice (The Children Of The Gods Origins, #1)",I.T. Lucas,2018
318,Reading Magic: Why Reading Aloud to Our Children Will Change Their Lives Forever,Mem Fox,2001
319,"Conquered by a Highlander (Children of the Mist, #4)",Paula Quinn,2015
320,Silly Jokes for Silly Kids. Children's joke book age 4-9,Silly Willy,2014
321,"Heidi's Children (Heidi sequel, #3)",Charles Tritten,1939
322,Ungovernable: The Victorian Parent's Guide to Raising Flawless Children,Therese Oneill,2019
323,The Last Children of Tokyo,Yōko Tawada,2014
324,"Take Me Home (Hearts of the Children, #4)",Dean Hughes,2004
325,"Shatter (The Children of Man, #1)",Elizabeth C. Mock,2010
326,The Random House Book of Poetry for Children,Jack Prelutsky,1983
327,"The Silent Children (DI Robyn Carter, #4)",Carol Wyer,2017
328,"The Duke's Children (Palliser, #6)",Anthony Trollope,1880
329,"Mona Lisa Craving (Monère: Children of the Moon, #3)",Sunny,2008
330,The Children of Jocasta,Natalie Haynes,2017
331,"Raising Our Children, Raising Ourselves: Transforming parent-child relationships from reaction and struggle to freedom, power and joy",Naomi Aldort,2006
332,Dark Widow’s Secret (The Children of the Gods #23),I.T. Lucas,-1
333,Becoming Brilliant: What Science Tells Us about Raising Successful Children,Roberta Michnick Golinkoff,2016
334,Children and Fire,Ursula Hegi,2011
335,Old Souls: Compelling Evidence From Children Who Remember Past Lives,Tom Shroder,1999
336,"Forgotten (Lost Children, #1)",Krista Street,2017
337,"Night's Touch (Children of The Night, #2)",Amanda Ashley,2007
338,Children of the Self-Absorbed: A Grown-Up's Guide to Getting over Narcissistic Parents,Nina W. Brown,2000
339,"13 Things Mentally Strong Parents Don't Do: Raising Self-Assured Children and Training Their Brains for a Life of Happiness, Meaning, and Success",Amy Morin,2014
340,"Among Wolves (The Children of the Mountain, #1)",R.A. Hakok,2015
341,Dark Widow’s Curse (The Children of the Gods #24),I.T. Lucas,-1
342,The Curve of Time: The Classic Memoir of a Woman and Her Children Who Explored the Coastal Waters of the Pacific Northwest,M. Wylie Blanchet,1961
