,Title,Authors,Year
368,"Aristotle's Children: How Christians, Muslims, and Jews Rediscovered Ancient Wisdom and Illuminated the Middle Ages",Richard E. Rubenstein,2003
369,"The Haunted Cabin Mystery (The Boxcar Children, #20)",Gertrude Chandler Warner,1991
370,"Beyond Ender's Game: Speaker for the Dead, Xenocide, Children of the Mind (Ender's Saga, #2-4)",Orson Scott Card,2001
371,Hitler's Forgotten Children: My Life Inside The Lebensborn,Ingrid Von Oelhafen,2015
372,"Vicious Minds (Children of Vice, #4)",J.J. McAvoy,2019
373,Children of the River,Linda Crew,1989
374,Raising White Kids: Bringing Up Children in a Racially Unjust America,Jennifer Harvey,2018
375,Children in the Woods: Exploring the Spirit Realm,Erik Knockaert,-1
376,Children of the Alley,Naguib Mahfouz,1959
377,Dark Dream’s Unraveling (The Children of the Gods #27),I.T. Lucas,-1
378,"Mona Lisa Darkening (Monère: Children of the Moon, #4)",Sunny,2008
379,Totto-chan's Children: A Goodwill Journey to the Children of the World,Tetsuko Kuroyanagi,1997
380,"Dark Dream’s Trap (The Children Of The Gods, #28)",I.T. Lucas,-1
381,No Longer a Slumdog: Bringing Hope to Children in Crisis,K.P. Yohannan,2011
382,The Wouldbegoods (Bastable Children #2),E. Nesbit,1901
383,"The Night Children (Escape from Furnace, #0.5)",Alexander Gordon Smith,2011
384,Dark Prince's Enigma (The Children of the Gods #29),I.T. Lucas,-1
385,"""Multiplication Is for White People"": Raising Expectations for Other People's Children",Lisa Delpit,2011
386,"Second Wave: Acorna's Children (Acorna, #9)",Anne McCaffrey,2006
387,Children of the Ash-Covered Loam,N.V.M. Gonzalez,1992
388,Asperger's Children: The Origins of Autism in Nazi Vienna,Edith Sheffer,2018
389,Babar and His Children,Jean de Brunhoff,1938
390,Trapped in the Mirror: Adult Children of Narcissists in Their Struggle for Self,Elan Golomb,1992
391,You Are Your Child's First Teacher: What Parents Can Do with and for Their Children from Birth to Age Six,Rahima Baldwin Dancy,1989
392,"Winter Be My Shield (Children of the Black Sun, #1)",Jo Spurrier,2012
393,"Mindstorms: Children, Computers, And Powerful Ideas",Seymour Papert,1980
394,"My Inappropriate Life: Some Material Not Suitable for Small Children, Nuns, or Mature Adults",Heather  McDonald,2013
395,A Guide for Murdered Children,Sarah  Sparrow,2018
396,"DNA (Children's House, #1)",Yrsa Sigurðardóttir,2014
397,Other People's Children,Joanna Trollope,1998
398,"The Explosive Child: A New Approach for Understanding and Parenting Easily Frustrated, Chronically Inflexible Children",Ross W. Greene,1998
399,The Ruskin Bond Children's Omnibus,Ruskin Bond,1995
400,The Shadow Children: Among the Hidden; Among the Impostors,Margaret Peterson Haddix,2009
401,Children of a Lesser God,Mark Medoff,1980
402,"Exultant (Destiny's Children, #2)",Stephen Baxter,2004
403,"Nighthawks (Children of Nostradamus, #1)",Jeremy Flagg,2016
404,Dark Prince's Dilemma (The Children of the Gods #30),I.T. Lucas,-1
405,My Allosaur Has Lost His Roar - Childrens Picture Book,Elwyn Tate,-1
406,Sneak Peek - Children of Blood and Bone,Tomi Adeyemi,-1
407,Dark Prince's Agenda (The Children Of The Gods #31),I.T. Lucas,-1
408,"The Boxcar Children 5-8 (The Boxcar Children, #5-8)",Gertrude Chandler Warner,1990
409,Heaven's Harlots: My Fifteen Years as a Sacred Prostitute in the Children of God Cult,Miriam Williams,1998
410,"The Lost Children (Detective Lucy Harwin, #1)",Helen Phifer,2017
411,Four Children and It,Jacqueline Wilson,2012
412,"Third Watch: Acorna's Children (Acorna, #10)",Anne McCaffrey,2007
413,"The Mystery of the Singing Ghost (The Boxcar Children, #31)",Gertrude Chandler Warner,1992
414,The House Children,Heidi Daniele,2019
415,The Sweet Potato Queens' Guide to Raising Children for Fun and Profit,Jill Conner Browne,2007
416,Turning Stones: My Days and Nights with Children at Risk,Marc Parent,1996
417,"Clan of the Cave Bear, The Valley of Horses, The Mammoth Hunters (Earth's Children, #1-3)",Jean M. Auel,1986
418,"Night's Master (Children of The Night, #3)",Amanda Ashley,2008
419,"Night's Pleasure (Children of The Night, #4)",Amanda Ashley,2009
420,"This Is How We Do It: One Day in the Lives of Seven Kids from around the World (Easy Reader Books, Children Around the World Books, Preschool Prep Books)",Matt LaMothe,2017
421,"I Survived the Children’s Blizzard, 1888 (I Survived, #16)",Lauren Tarshis,2018
422,How Toddlers Thrive: What Parents Can Do Today for Children Ages 2-5 to Plant the Seeds of Lifelong Success,Tovah P. Klein,2014
423,"How to Read a Story: (Illustrated Children's Book, Picture Book for Kids, Read Aloud Kindergarten Books)",Kate Messner,2015
424,"The Deserted Library Mystery (The Boxcar Children, #21)",Gertrude Chandler Warner,1991
425,"The Heirs of Earth (Children of Earthrise, #1)",Daniel Arenson,-1
426,The Children of Hypnos,Francesca Zappia,-1
427,"The Pizza Mystery (The Boxcar Children, #33)",Gertrude Chandler Warner,1993
428,Hekla's Children,James Brogden,2017
429,"10 Mindful Minutes: Giving Our Children--and Ourselves--the Social and Emotional Skills to Reduce Stress and Anxiety for Healthier, Happy Lives",Goldie Hawn,2011
430,Children of Amarid (Lon Tobyn Chronicle #1),David B. Coe,1997
431,Children of Na,A.L. Burgess Jr.,2014
432,"Consumed - How Markets Corrupt Children, Infantilize Adults & Swallow Citizens Whole",Benjamin R. Barber,2007
433,Circle Round: Raising Children in Goddess Traditions,Anne  Hill,1998
434,"Regina in the Sun (Children of the Goddess, #1)",R.G. Alexander,2008
435,Miss Peregrine's Home for Peculiar Children Sampler,Ransom Riggs,-1
436,Prospero's Children,Jan Siegel,1999
437,"The Children of the Moon (The Girl In Between, #3)",Laekan Zea Kemp,-1
438,Monsters Eat Whiny Children,Bruce Eric Kaplan,2010
439,Beatrix Potter's Gardening Life: The Plants and Places That Inspired the Classic Children's Tales,Marta McDowell,2013
440,"Torpedoed: The True Story of the World War II Sinking of ""The Children's Ship""",Deborah Heiligman,2019
441,"The Ark (Children of a Dead Earth, #1)",Patrick S. Tomlinson,2015
442,Dark Queen’s Quest (The Children Of The Gods #32),I.T. Lucas,-1
443,"Children of Paranoia (Children of Paranoia, #1)",Trevor Shane,2011
444,"Transcendent (Destiny's Children, #3)",Stephen Baxter,2005
445,"The Animal Shelter Mystery (The Boxcar Children, #22)",Gertrude Chandler Warner,1991
446,Where Children Sleep,James Mollison,2010
447,"The Mystery of the Hidden Painting (The Boxcar Children, #24)",Gertrude Chandler Warner,1992
448,"The Missing Children (DI Kayli Bright Trilogy, #1)",M.A. Comley,-1
449,"Children of War (Bruno, Chief of Police #7)",Martin  Walker,2014
450,The Lost Children (Detective Superintendent Ray Paterson #2),Steve    Parker,2018
451,"Dark Queen’s Knight (The Children Of The Gods, 33)",I.T. Lucas,-1
452,"Across the Green Grass Fields (Wayward Children, #6)",Seanan McGuire,-1
453,"Teaching Kids to Think: Raising Confident, Independent, and Thoughtful Children in an Age of Instant Gratification",Darlene Sweetland,2015
454,"The Amusement Park Mystery (The Boxcar Children, #25)",Gertrude Chandler Warner,1992
455,The Children of the King,Sonya Hartnett,2012
456,"Suffer Little Children (Sister Fidelma, #3)",Peter Tremayne,1995
457,Children of the Forest,Elsa Beskow,1910
458,The Night Before Christmas and Other Popular Stories For Children,Clement C. Moore,2007
459,The Lost Children,Carolyn Cohagan,2010
460,The X-Files: Earth Children are Weird,Jason Rekulak,2017
461,Children of Paradise: The Struggle for the Soul of Iran,Laura Secor,2015
462,Books For Kids: The Lucky Puppy: Bedtime Stories For Kids Ages 3-8 (Kids Books - Bedtime Stories For Kids - Children's Books - Free Stories),Mike Grylls,2015
463,Greek Myths For Young Children (Usborne Gift Book),Heather Amery,1999
464,The Children of Old Leech: A Tribute to the Carnivorous Cosmos of Laird Barron,Ross E. Lockhart,2014
465,Dune Messiah & Children Of Dune,Frank Herbert,1983
466,The Children's Homer: The Adventures of Odysseus and the Tale of Troy,Padraic Colum,1918
467,If You Want To Be Rich & Happy Don't Go To School: Insuring Lifetime Security for Yourself and Your Children,Robert T. Kiyosaki,1992
468,"Goddess’s Hope (The Children Of The Gods Origins, #2)",I.T. Lucas,2018
469,"The Scribbly Man (Children of D'Hara, #1)",Terry Goodkind,2019
470,Let the Children March,Monica Clark-Robinson,2018
471,Global Babies,Global Fund for Children,2007
472,"The Old Motel Mystery (The Boxcar Children, #23)",Gertrude Chandler Warner,1991
473,"Children Are from Heaven: Positive Parenting Skills for Raising Cooperative, Confident, and Compassionate Children",John Gray,2000
474,"Twilight Prophecy (Wings in the Night, #17; Children of Twilight, #1)",Maggie Shayne,2011
475,"Power of Play: How Spontaneous, Imaginative Activities Lead to Happier, Healthier Children",David Elkind,2006
476,"Dark Queen’s Army (The Children Of The Gods, #34)",I.T. Lucas,-1
477,Teaching Your Children Values,Linda Eyre,1993
478,Endangered Minds: Why Children Don’t Think and What We Can Do About It,Jane M. Healy,1990
479,The Daisy Children,Sofia Grant,2018
480,Children of the Dust Bowl: The True Story of the School at Weedpatch Camp,Jerry Stanley,2014
481,Game On Boys! The Play Station Play-offs: A Hilarious adventure for children 9-12 with illustrations,Kate  Cullen,2014
482,Parenting with Love and Logic: Teaching Children Responsibility,Foster W. Cline,1990
483,"The Schools Our Children Deserve: Moving Beyond Traditional Classrooms and ""Tougher Standards""",Alfie Kohn,1999
484,The Dreamkeepers: Successful Teachers of African American Children,Gloria Ladson-Billings,1993
485,"The Chocolate Sundae Mystery (The Boxcar Children, #46)",Gertrude Chandler Warner,1995
486,Riddance: Or the Sybil Joines Vocational School for Ghost Speakers & Hearing-Mouth Children,Shelley Jackson,2018
487,The Orchid and the Dandelion: Why Some Children Struggle and How All Can Thrive,W. Thomas Boyce,-1
488,"The Mystery of the Stolen Boxcar (The Boxcar Children, #49)",Gertrude Chandler Warner,1995
489,Wild Things! Acts of Mischief in Children's Literature,Betsy Bird,2014
490,"Dark Spy Conscripted (The Children Of The Gods, #35)",I.T. Lucas,-1
491,Children: The Challenge,Rudolf Dreikurs,1964
492,Children To The Slaughter (Slaughter #1),A.I. Nasser,2016
493,Children's Songbook,The Church of Jesus Christ of Latter-day Saints,1989
494,"Children of the Serpent Gate (Tears of Artamon, #3)",Sarah Ash,2005
495,"Mona Lisa Eclipsing  (Monère: Children of the Moon, #5)",Sunny,2011
496,Just Wait Till You Have Children of Your Own!,Erma Bombeck,1971
497,Through the Children's Gate: A Home in New York,Adam Gopnik,2006
498,Life Before Life: A Scientific Investigation of Children's Memories of Previous Lives,Jim B. Tucker,2005
499,Charles Dickens' Children Stories,Charles Dickens,1900
500,The Seven Spiritual Laws for Parents: Guiding Your Children to Success and Fulfillment,Deepak Chopra,1997
501,The Children Who Time Lost,Marvin Amazon,2013
502,"Renegade Children (Renegade Star, #8)",J.N. Chaney,-1
503,Garden of the Lost and Abandoned: The Extraordinary Story of One Ordinary Woman and the Children She Saves,Jessica Yu,2017
504,"Why You Should Read Children's Books, Even Though You Are So Old and Wise",Katherine Rundell,2019
505,"The Four-Gated City (Children of Violence, #5)",Doris Lessing,1969
506,Artist to Artist: 23 Major Illustrators Talk to Children about Their Art,Eric Carle,2007
507,"Children of Scarabaeus (Scarabaeus, #2)",Sara Creasy,2011
508,Born in the USA: How a Broken Maternity System Must Be Fixed to Put Women and Children First,Marsden Wagner,2006
509,"The Excellent 11: Qualities Teachers and Parents Use to Motivate, Inspire, and Educate Children",Ron Clark,2004
510,"The Castle Mystery (The Boxcar Children, #36)",Gertrude Chandler Warner,1993
511,Children of the Matrix,David Icke,2001
512,The Power of Positive Parenting: A Wonderful Way to Raise Children,Glenn I. Latham,1994
513,"The Children of Hamlin (Star Trek: The Next Generation, #3)",Carmen Carter,1988
514,Children of Dust: A Memoir of Pakistan,Ali Eteraz,2009
515,Uprising (Children of the Gods #2),Jessica Therrien,2013
516,The Children's Story,James Clavell,1981
517,Balderdash!: John Newbery and the Boisterous Birth of Children's Books,Michelle Markel,2017
518,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,2001
519,The Lost Children of Wilder: The Epic Struggle to Change Foster Care,Nina Bernstein,2001
520,Strangers and Sojourners (Children of the Last Days #1),Michael D. O'Brien,1997
521,Dark Spy’s Resolution (The Children Of The Gods Paranormal Romance Series Book 37),I.T. Lucas,-1
522,Dark Stranger: The Children Of The Gods,I.T. Lucas,-1
523,The Children's Train: Escape on the Kindertransport,Jana Zinser,2015
524,Supernanny: How to Get the Best from Your Children,Jo Frost,2005
525,The Belial Children (Belial #5),R.D. Brady,2014
526,"Titanborn (Children of Titan, #1)",Rhett C. Bruno,2016
527,Parents Who Killed Their Children: Filicide,R.J. Parker,2014
528,"Where Children Run (Pischke Twins, #1)",Karen Emilson,1996
529,"The Children of the Company (The Company, #6)",Kage Baker,2005
530,"Dark Spy’s Mission (The Children Of The Gods, #36)",I.T. Lucas,-1
531,"The Waterborn (Children of the Changeling, #1)",Greg Keyes,1996
532,Bambi's Children,Felix Salten,1939
533,Harmful to Minors: The Perils of Protecting Children from Sex,Judith Levine,2002
534,Funny Jokes: 100+ Knock Knock Jokes for Children: Kids Jokes - Knock Knock Jokes - Jokes for Kids,Johnny B. Laughing,2014
535,The Children of Cherry Tree Farm,Enid Blyton,1940
536,Too Small to Ignore: Why Children Are the Next Big Thing,Wess Stafford,2005
537,"Born to Buy: A Groundbreaking Exposé of a Marketing Culture That Makes Children ""Believe They  Are  What They  Own.""",Juliet B. Schor,2004
538,"Sea Fever (Children of the Sea, #2)",Virginia Kantra,2008
539,"All God's Children (Peacemakers, #1)",Anna   Schmidt,2013
540,A Family of Readers: The Book Lover's Guide to Children's and Young Adult Literature,Roger Sutton,2010
541,Planting Seeds: Practicing Mindfulness with Children,Thich Nhat Hanh,2011
542,By the Lake of Sleeping Children,Luis Alberto Urrea,1996
543,Don't Juggle Bees! And Other Useless Advice For Silly Children,Gerald Hawksley,2011
544,Knife Children (The Sharing Knife #4.5),Lois McMaster Bujold,2019
545,"Think of the Children (Jessica Daniel, #4)",Kerry Wilkinson,2013
546,Medea and Her Children,Lyudmila Ulitskaya,1996
547,The Children's Game,Max Karpov,-1
548,"Moon Burning (Children of the Moon, #3)",Lucy Monroe,2011
549,The Sweet Relief of Missing Children,Sarah Braunstein,2010
550,"Beyond Consequences, Logic, and Control: A Love-Based Approach to Helping Attachment-Challenged Children With Severe Behaviors, Volume 1",Heather T. Forbes,2006
551,Irena Sendler and the Children of the Warsaw Ghetto,Susan Goldman Rubin,1984
552,Mommy Burnout: How to Reclaim Your Life and Raise Healthier Children in the Process,Sheryl G. Ziegler,-1
553,Kid Food: The Challenge of Feeding Children in a Highly Processed World,Bettina Elias Siegel,2019
554,"Was the Cat in the Hat Black?: The Hidden Racism of Children's Literature, and the Need for Diverse Books",Philip Nel,2017
555,Miracle on Voodoo Mountain: A Young Woman's Remarkable Story of Pushing Back the Darkness for the Children of Haiti,Megan Boudreaux,2015
556,The Children of Hurin / The Silmarillion / Unfinished Tales,J.R.R. Tolkien,-1
557,"Song of the Ovulum (Children of the Bard, #1)",Bryan Davis,2011
558,1001 Children's Books You Must Read Before You Grow Up,Julia Eccleshare,2009
559,"Stories For Parents, Children And Grandchildren   Volume 1",Paulo Coelho,1997
560,The Power of Praying for Your Adult Children,Stormie Omartian,2009
561,"The Dinosaur Mystery (The Boxcar Children, #44)",Gertrude Chandler Warner,1995
562,Closer to the Light: Learning from the Near-Death Experiences of Children,Melvin Morse,1990
563,"Prince of Magic (Children of the Sun, #1)",Linda Winstead Jones,2006
564,"Drawing with Children: A Creative Method for Adult Beginners, Too",Mona Brookes,1986
565,"The Mystery Girl (The Boxcar Children, #28)",Gertrude Chandler Warner,1992
566,"The Mystery of the Mixed-Up Zoo (The Boxcar Children, #26)",Gertrude Chandler Warner,1992
567,The Boxcar Children Mysteries Box Set: Books One Through Twelve,Gertrude Chandler Warner,1996
568,"Second Sight: An Editor's Talks on Writing, Revising, and Publishing Books for Children and Young Adults",Cheryl B. Klein,2011
569,Tehran Children: A Holocaust Refugee Odyssey,Mikhal Dekel,2019
570,"Children of Fear (Fear Street Sagas, #7)",R.L. Stine,1997
571,Suzanne's Children: A Daring Rescue in Nazi Paris,Anne  Nelson,-1
572,"The Mystery Bookstore (The Boxcar Children, #48)",Gertrude Chandler Warner,1995
573,Palestine's Children: Returning to Haifa and Other Stories,Ghassan Kanafani,1984
574,Savage Spawn: Reflections on Violent Children,Jonathan Kellerman,1999
575,I've Only Got Three Hands:: Teach Your Children to Keep Their Room Clean (Bedtimes Story Fiction Children's Picture Book Book 2),Sigal Adler,-1
576,"The Caterpillar That Learned to Fly: A Children's Nature Picture Book, a Fun Caterpillar and Butterfly Story For Kids",Sharon  Clark,-1
577,Escape: Children of the Holocaust,Allan Zullo,2009
578,The Well of Being: A Children's Book for Adults,Jean-Pierre Weill,2013
579,"Mystery in the Snow (The Boxcar Children, #32)",Gertrude Chandler Warner,1992
580,God's Love: How the Infinite God Cares for His Children,R.C. Sproul,2001
581,Children of the Street (Darko Dawson #2),Kwei Quartey,2011
582,The World's Worst Children 3,David Walliams,2018
583,Beautiful Stories from Shakespeare for Children,E. Nesbit,1907
584,Marching for Freedom: Walk Together Children and Don't You Grow Weary,Elizabeth Partridge,2009
585,"There Once Lived a Mother Who Loved Her Children, Until They Moved Back In: Three Novellas About Family",Ludmilla Petrushevskaya,2002
586,"The Disappearing Friend Mystery (The Boxcar Children, #30)",Gertrude Chandler Warner,1991
587,The Children of First Man,James Alexander Thom,1994
588,"Books for Kids: Tommy Tiger Visits Veggie World: Illustration Book (Ages 3-8),Short Stories for Kids, Kids Books, Bedtime Stories For Kids, Children Books, Early Readers",Tommy Tiger,2015
589,Somebody's Daughter: The Hidden Story of America's Prostituted Children and the Battle to Save Them,Julian Sher,2010
590,Tensy Farlow and the Home for Mislaid Children,Jen Storer,2009
591,Diary of a 6th Grade Ninja 11: Beware of the Supermoon (a hilarious adventure for children ages 9-12),Marcus Emerson,-1
592,Children of the Storm,Kirsten Beyer,2011
593,Wildflower Girl (Children of the Famine #2),Marita Conlon-McKenna,1991
594,Dear Professor Einstein: Albert Einstein's Letters to and from Children,Albert Einstein,2002
595,"The Sound of Music Story: How A Beguiling Young Novice, A Handsome Austrian Captain, and Ten Singing von Trapp Children Inspired the Most Beloved Film of All Time",Tom Santopietro,2015
596,"The Life and Loves of E. Nesbit: Victorian Iconoclast, Children’s Author, and Creator of The Railway Children",Eleanor Fitzsimons,2019
597,"Liberated Parents, Liberated Children: Your Guide to a Happier Family",Adele Faber,1973
598,"Roots, Shoots, Buckets  Boots: Gardening Together with Children",Sharon Lovejoy,1999
599,"Twilight Fulfilled (Wings in the Night, #18) (Children of Twilight, #2)",Maggie Shayne,2011
600,The January Children,Safia Elhillo,2017
601,Building the Bonds of Attachment: Awakening Love in Deeply Troubled Children,Daniel A. Hughes,1998
602,My Pteranodon Has A Sneeze - Childrens Picture Book,Elwyn Tate,2015
603,The Hidden Children: The Secret Survivors of the Holocaust,Jane Marks,1993
604,Heaven on Earth: A Handbook for Parents of Young Children,Sharifa Oppenheimer,2006
605,"Positive Discipline for Preschoolers: For Their Early Years - Raising Children Who Are Responsible, Respectful, and Resourceful",Jane Nelsen,1994
606,Humanimal: A Project for Future Children,Bhanu Kapil,2009
607,Driving Under the Influence of Children: A Baby Blues Treasury,Rick Kirkman,2005
608,Children of Paradise,Fred D'Aguiar,2014
609,"The Earth's Children Series 6-Book Bundle: The Clan of the Cave Bear, The Valley of Horses, The Mammoth Hunters, The Plains of Passage, The Shelters of Stone, The Land of Painted Caves",Jean M. Auel,2013
610,"Dragon's Moon (Children of the Moon, #4)",Lucy Monroe,2012
611,"Raising Resilient Children: Fostering Strength, Hope, and Optimism in Your Child",Robert B. Brooks,2001
612,"The Ring of Morgana (The Children of Camelot, #1)",Donna Hosie,2014
613,The Twilight Children,Gilbert Hernández,2016
614,The Witch's Guide to Cooking with Children,Keith McGowan,2009
615,"Nurture by Nature: How to Raise Happy, Healthy, Responsible Children Through the Insights of Personality Type",Paul D. Tieger,1997
616,"The Witcher, Vol. 2: Fox Children",Paul Tobin,2015
617,Hip Hop Speaks to Children: A Celebration of Poetry with a Beat,Nikki Giovanni,2008
618,Indigo Children,Lee Carroll,1999
619,The Children of Willow Farm,Enid Blyton,1942
620,Mary Higgins Clark: Three Complete Novels: Where are the Children; A Stranger is Watching; The Cradle Will Fall,Mary Higgins Clark,1995
621,A Gift to My Children: A Father's Lessons for Life and Investing,Jim Rogers,2007
622,In a Rocket Made of Ice: Among the Children of Wat Opot,Gail Gutradt,2014
623,Flower Children,Maxine Swann,2007
624,Indaba My Children,Vusamazulu Credo Mutwa,1964
625,"A Nest Is Noisy: (Nature Books for Kids, Children's Books Ages 3-5, Award Winning Children's Books)",Dianna Hutts Aston,2015
626,"A Highlander for Christmas (Children of the Mist, #4.5)",Paula Quinn,2012
627,When Children Love to Learn: A Practical Application of Charlotte Mason's Philosophy for Today,Elaine Cooper,2004
628,The Little Soul and the Sun: A Children's Parable Adapted from Conversations with God,Neale Donald Walsch,1998
629,The Artful Parent: Simple Ways to Fill Your Family's Life with Art and Creativity--Includes over 60 Art Projects for Children Ages 1 to 8,Jean Van't Hul,2013
630,"Vicious Minds Part 2 (Children of Vice, #5)",J.J. McAvoy,-1
631,"The Mystery of the Lost Village (The Boxcar Children, #37)",Gertrude Chandler Warner,1993
632,"Disconnected Kids: The Groundbreaking Brain Balance Program for Children with Autism, ADHD, Dyslexia, and Other Neurological Disorders",Robert Melillo,2009
633,"The Mystery of the Hidden Beach (The Boxcar Children, #41)",Gertrude Chandler Warner,1994
634,"Screenplays by Stephen King: Rose Red, Kingdom Hospital, Creepshow, the Stand, Children of the Corn, Cat's Eye, Pet Sematary",Stephen King,1980
635,"The Children of Kings (Darkover, #28)",Deborah J. Ross,2013
636,"The Mystery on Stage (The Boxcar Children, #43)",Gertrude Chandler Warner,1994
637,God's Buried Children,Daniel Farcaș,2014
638,On the Lips of Children,Mark  Matthews,2013
639,"Lux in Shadow (Children of the Goddess, #2)",R.G. Alexander,2008
640,A Family of Poems: My Favorite Poetry for Children,Caroline Kennedy,2005
641,The Children of Dynmouth,William Trevor,1976
642,"The Mystery of the Missing Cat (The Boxcar Children, #42)",Gertrude Chandler Warner,1994
643,The Fallen Children,David            Owen,2017
644,My Librarian Is a Camel: How Books Are Brought to Children Around the World,Margriet Ruurs,2005
645,Yardsticks: Children in the Classroom Ages 4-14,Chip Wood,1994
646,Children Just Like Me,Barnabas Kindersley,-1
647,"The Navigator's Children (The Last King of Osten Ard, #3)",Tad Williams,-1
648,"Progeny (The Children of the White Lions, #1)",R.T. Kaelin,2010
649,"Killing Monsters: Our Children's Need For Fantasy, Heroism, and Make-Believe Violence",Gerard Jones,2002
650,Sleepy Hollow: Children of the Revolution,Keith R.A. DeCandido,2014
651,Dark Overlord New Horizon (The Children Of The Gods Paranormal Romance Series Book 38),I.T. Lucas,-1
652,Against Their Will: The Secret History of Medical Experimentation on Children in Cold War America,Allen M. Hornblum,2013
653,Children of Cambodia's Killing Fields: Memoirs by Survivors,Dith Pran,1997
654,"Warrior's Moon (Children of the Moon, #5)",Lucy Monroe,2013
655,"Best Family Ever (Baxter Family Children, #1)",Karen Kingsbury,2019
656,Raising Children Compassionately: Parenting the Nonviolent Communication Way,Marshall B. Rosenberg,1999
657,Joshua and the Children,Joseph F. Girzone,1989
658,What's Math Got to Do with It?: Helping Children Learn to Love Their Least Favorite Subject--and Why It's Important for America,Jo Boaler,2008
659,Caught Up in a Story: Fostering a Storyformed Life of Great Books & Imagination with Your Children,Sarah    Clarkson,2014
660,The Rabbit Who Wants To Fall Asleep: A New Way of Getting Children to Sleep,Carl-Johan Forssén Ehrlin,2001
661,Beasts and Children,Amy    Parker,2016
662,Fifty Dangerous Things,Gever Tulley,2009
663,Children of the Most High,Anna Scanlon,2014
664,The Boxcar Children Beginning: The Aldens of Fair Meadow Farm,Patricia MacLachlan,2012
665,The Children's Bach,Helen Garner,1984
666,The Children of Wisdom Trilogy,Stephanie Erickson,-1
667,"Lighting Their Fires: Raising Extraordinary Children in a Mixed-up, Muddled-up, Shook-up World",Rafe Esquith,2009
668,Everything I Need to Know I Learned from a Children's Book,Anita Silvey,2009
669,The Parents We Mean To Be: How Well-Intentioned Adults Undermine Children's Moral and Emotional Development,Richard Weissbourd,2009
670,"Immortal Sea (Children of the Sea, #4)",Virginia Kantra,2010
671,Being the Mom: 10 Coping Strategies I Learned by Accident Because I Had Children on Purpose,Emily Watts,2002
672,Bearded: A Very Hairy Children's Book,Jeremy Billups,2015
673,The Winter Children,Lulu Taylor,2015
674,"Trixie Belden and the Mystery of the Castaway Children (Trixie Belden, #21)",Kathryn Kenny,1978
675,We Believe the Children: The Story of a Moral Panic,Richard   Beck,2015
676,Writing with Pictures: How to Write and Illustrate Children's Books,Uri Shulevitz,1985
677,The Children and the Wolves,Adam Rapp,2012
678,"The Mystery at the Dog Show (The Boxcar Children, #35)",Gertrude Chandler Warner,1993
679,"The Mystery of the Stolen Music (The Boxcar Children, #45)",Gertrude Chandler Warner,1995
680,Girl Soldier: A Story of Hope for Northern Uganda's Children,Faith J.H. McDonnell,2007
681,"Night's Promise (Children of the Night, #6)",Amanda Ashley,2014
682,"Hateful Things (Children of D'Hara, #2)",Terry Goodkind,2019
683,Mail Order Bride And Her Children's Hope (A Western Historical Romance Book),Florence Linnington,-1
684,"Slaughterhouse-Five, or The Children's Crusade",Kurt Vonnegut Jr.,1969
685,"Children of the Blood (The Sundered, #2)",Michelle Sagara West,1992
686,My Children! My Africa!,Athol Fugard,1990
687,"The Lost Children Trilogy Complete Box Set: Forgotten, Remembered, Reborn (Books 1-3)",Krista Street,-1
688,The Box-Car Children,Gertrude Chandler Warner,1924
689,"Living Simply with Children: A Voluntary Simplicity Guide for Moms, Dads, and Kids Who Want to Reclaim the Bliss of Childhood and the Joy of Parenting",Marie Sherlock,2003
690,Don't Tell the Grown-Ups: The Subversive Power of Children's Literature,Alison Lurie,1990
691,The Children's Block: Based on a true story by an Auschwitz survivor,Otto B. Kraus,-1
692,Children of Time (After Cilmeri #4),Sarah Woodbury,2012
693,Children of the River Ghost,Alexandra Aceves,-1
694,Let Them Eat Dirt: Saving Our Children from an Oversanitized World,B. Brett Finlay,2016
695,"One Love: (Multicultural Childrens Book, Mixed Race Childrens Book, Bob Marley Book for Kids, Music Books for Kids)",Cedella Marley Booker,2011
696,Children of Fate (The Obsidian Crown #1),Louisa Gene Moriyama,-1
697,"Late, Lost & Unprepared: A Parents' Guide to Helping Children with Executive Functioning",Joyce Cooper-Kahn,2008
698,"Children of the Plains (Dragonlance: Barbarians, #1)",Paul B. Thompson,2000
699,Renting Lacy: A Story Of America's Prostituted Children,Linda   Smith,2009
700,Children of the Day,Beth Moore,2014
701,"The Mystery at Snowflake Inn (The Boxcar Children Special, #3)",Gertrude Chandler Warner,1994
702,The Magic Words: Writing Great Books for Children and Young Adults,Cheryl B. Klein,-1
703,"The Mystery in the Cave (The Boxcar Children, #50)",Gertrude Chandler Warner,1995
704,Woad Children (Challenger's Call Book #3),Nathan A.Thompson,-1
705,The Burned Children of America,Zadie Smith,2003
706,The Good Children,Kate Wilhelm,1998
707,"The Juggler's Children: A Journey into Family, Legend and the Genes that Bind Us",Carolyn Abraham,2012
708,Raising Self-Reliant Children in a Self-Indulgent World: Seven Building Blocks for Developing Capable Young People,Jane Nelsen,1988
709,Buddhism for Mothers of Young Children: Becoming a Mindful Parent,Sarah Napthali,2007
710,Parenting a House United: Changing children’s hearts and behaviors by teaching self-government,Nicholeen Peck,2009
711,The Children of Hurin/The Silmarillion/The Hobbit/The Lord of the Rings,J.R.R. Tolkien,2013
712,The Burgess Animal Book for Children,Thornton W. Burgess,1922
713,Flat Broke with Children: Women in the Age of Welfare Reform,Sharon Hays,2002
